Project Name,Image,Link
Réveillons Annecy,https://opensourcepolitics.eu/wp-content/uploads/2019/12/Reveillons-Annecy.svg,https://fabriquecitoyenne.reveillonsannecy.fr/
Le nouveau Paris,https://opensourcepolitics.eu/wp-content/uploads/2019/12/Villani.svg,https://candidater.cedricvillani.paris/ 
Paris Ensemble,https://opensourcepolitics.eu/wp-content/uploads/2019/12/Paris-ensemble.svg,https://decidons.ensemble.paris/ 
Smart Isula,https://opensourcepolitics.eu/wp-content/uploads/2019/12/Smart-Isula.svg,https://smart-isula.corsica/
Touraine,https://opensourcepolitics.eu/wp-content/uploads/2019/11/Touraine.svg,https://participation.touraine.fr/
PATLY,https://opensourcepolitics.eu/wp-content/uploads/2019/10/Patly.svg,https://patly.org/
Changer Lyon,https://opensourcepolitics.eu/wp-content/uploads/2019/10/EELV-Lyon.svg,https://participer.changerlyon.fr/
Participer Vendée,https://opensourcepolitics.eu/wp-content/uploads/2019/10/participerecollectivitesvendee.svg,https://participer.ecollectivitesvendee.fr
Val de Marne,https://opensourcepolitics.eu/wp-content/uploads/2019/10/Val-de-marne.svg,https://participer.valdemarne.fr/
Rilleux-la-Pape,https://opensourcepolitics.eu/wp-content/uploads/2019/10/Rillieux-la-pape.svg,https://conseilcitoyen.rillieuxlapape.fr/
Grenoble en commun-La Fabrique,https://opensourcepolitics.eu/wp-content/uploads/2019/10/Grenoble-en-commun.svg,https://lafabrique.grenobleencommun.fr/
EMMAÜSSolidarité,https://opensourcepolitics.eu/wp-content/uploads/2019/10/Emmaus-Solidarite-full.svg,https://decidim.emmaus-solidarite.org/
Decathlon,https://opensourcepolitics.eu/wp-content/uploads/2019/06/Decathlon.svg,https://vision-campus.decathlon.fr
L’Arc de L’Innovation,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Paris.svg,https://arcinnovation.fr
Ville de Nivelles,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Nivelles.svg,https://nivelles.monopinion.belgium.be
Commune de Waterloo,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Waterloo.svg,https://waterloo.monopinion.belgium.be
Assemblée Nationale,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Assemblee-Nationale.svg,https://consultation.democratie-numerique.assemblee-nationale.fr/reussirlatransition
Ville Saint-Jean de Braye,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Saint-Jean-de-Braye.svg,https://budgetparticipatif.saintjeandebraye.fr
Ville de Roubaix,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Ville-de-Roubaix.svg,https://budgetparticipatif.ville-roubaix.fr
Ville de Romainville,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Romainville.svg,https://www.budget-participatif-romainville.fr
RIVP,https://opensourcepolitics.eu/wp-content/uploads/2019/05/RIVP.svg,https://budget-participatif.rivp.fr
Ville d’Orsay,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Orsay.svg,https://rentree2019.mairie-orsay.fr
Numérique En Commun[s],https://opensourcepolitics.eu/wp-content/uploads/2019/05/NEC.svg,https://participer.numerique-en-commun.fr
Région Nouvelle – Aquitaine,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Nouvelle-Aquitaine.svg,https://concertations.nouvelle-aquitaine.fr
Ville de Nancy,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Nancy.svg,https://participez.nancy.fr/
Département du Loiret,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Loiret.svg,https://atelierdevosidees.loiret.fr
Département de Loire-Atlantique,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Loire-Atlantique.svg,https://participer.loire-atlantique.fr
Mouvement Génération,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Generations.svg,https://agora.generation-s.fr
Elogie-Siemp,https://opensourcepolitics.eu/wp-content/uploads/2019/05/elogie-siemp.svg,https://budgetparticipatif.elogie-siemp.paris
Code For France,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Code-For-France.svg,https://codefor.fr
Commission Nationale du Débat Public (CNDP),https://opensourcepolitics.eu/wp-content/uploads/2019/05/cndp.svg,https://participons.debatpublic.fr
Etat fédéral de Belgique (BOSA),https://opensourcepolitics.eu/wp-content/uploads/2019/05/Bosa.svg,https://monopinion.belgium.be
Ville de Villeurbanne,https://opensourcepolitics.eu/wp-content/uploads/2019/05/Villeurbanne.svg,https://participez.villeurbanne.fr
Ville d’uccle,https://opensourcepolitics.eu/wp-content/uploads/2019/04/Uccle.svg,https://uccle.monopinion.belgium.be
